"AuthorityCode","AuthorityName","RouteUID","RouteID","RouteNameZh","SubRouteUID","SubRouteID","SubRouteNameZh","OperatorName","Headsign","Direction"
"TPE","臺北市","TPE11145","11145","小7","TPE111410","111410","小7經嶺腳珠海路","大南汽車","-","1"
"TPE","臺北市","TPE11145","11145","小7","TPE111450","111450","小7","大南汽車","-","0"
"TPE","臺北市","TPE11145","11145","小7","TPE111450","111450","小7","大南汽車","-","1"
"TPE","臺北市","TPE11145","11145","小7","TPE159274","159274","小7經新民路","大南汽車","-","0"
"TPE","臺北市","TPE11145","11145","小7","TPE159274","159274","小7經新民路","大南汽車","-","1"
"TPE","臺北市","TPE11145","11145","小7","TPE159702","159702","小7經惇敘工商","大南汽車","-","0"
"TPE","臺北市","TPE11145","11145","小7","TPE159702","159702","小7經惇敘工商","大南汽車","-","1"
"TPE","臺北市","TPE11146","11146","市民小巴2","TPE111460","111460","市民小巴2","大南汽車","-","0"
"TPE","臺北市","TPE11146","11146","市民小巴2","TPE111460","111460","市民小巴2","大南汽車","-","1"
"TPE","臺北市","TPE11151","11151","230","TPE111510","111510","230","大南汽車","-","0"
"TPE","臺北市","TPE11151","11151","230","TPE111510","111510","230","大南汽車","-","1"
"TPE","臺北市","TPE11152","11152","承德幹線","TPE111520","111520","承德幹線","大南汽車","-","0"
"TPE","臺北市","TPE11152","11152","承德幹線","TPE111520","111520","承德幹線","大南汽車","-","1"
"TPE","臺北市","TPE11152","11152","承德幹線","TPE157863","157863","承德幹線(北投-市府)","大南汽車","-","0"
"TPE","臺北市","TPE11152","11152","承德幹線","TPE157864","157864","承德幹線(市府-北投)","大南汽車","-","1"
"TPE","臺北市","TPE11156","11156","218","TPE111560","111560","218","大南汽車","-","0"
"TPE","臺北市","TPE11156","11156","218","TPE111560","111560","218","大南汽車","-","1"
"TPE","臺北市","TPE11157","11157","218直","TPE111570","111570","218直","大南汽車","-","0"
"TPE","臺北市","TPE11157","11157","218直","TPE111570","111570","218直","大南汽車","-","1"
"TPE","臺北市","TPE11158","11158","218區","TPE111580","111580","218區","大南汽車","-","0"
"TPE","臺北市","TPE11158","11158","218區","TPE111580","111580","218區","大南汽車","-","1"
"TPE","臺北市","TPE11161","11161","529","TPE111610","111610","529","大南汽車","-","0"
"TPE","臺北市","TPE11161","11161","529","TPE111610","111610","529","大南汽車","-","1"
"TPE","臺北市","TPE11165","11165","288","TPE111650","111650","288","大南汽車","-","0"
"TPE","臺北市","TPE11165","11165","288","TPE111650","111650","288","大南汽車","-","1"
"TPE","臺北市","TPE11171","11171","265經明德路","TPE111710","111710","265經明德路","大南汽車","-","0"
"TPE","臺北市","TPE11171","11171","265經明德路","TPE111710","111710","265經明德路","大南汽車","-","1"
"TPE","臺北市","TPE11171","11171","265經明德路","TPE159598","159598","265經明德路狗狗公車","大南汽車","-","0"
"TPE","臺北市","TPE11171","11171","265經明德路","TPE159598","159598","265經明德路狗狗公車","大南汽車","-","1"
"TPE","臺北市","TPE11201","11201","紅7","TPE11201","11201","紅7","首都客運","-","0"
"TPE","臺北市","TPE11201","11201","紅7","TPE11201","11201","紅7","首都客運","-","1"
"TPE","臺北市","TPE11202","11202","紅7區","TPE11202","11202","紅7區","首都客運","-","0"
"TPE","臺北市","TPE11202","11202","紅7區","TPE11202","11202","紅7區","首都客運","-","1"
"TPE","臺北市","TPE11202","11202","紅7區","TPE157629","157629","紅7區(往捷運劍潭)","首都客運","-","0"
"TPE","臺北市","TPE11202","11202","紅7區","TPE157630","157630","紅7區(往社子)","首都客運","-","1"
"TPE","臺北市","TPE11203","11203","26","TPE112030","112030","26","首都客運","-","0"
"TPE","臺北市","TPE11203","11203","26","TPE112030","112030","26","首都客運","-","1"
"TPE","臺北市","TPE11204","11204","68","TPE112040","112040","68","首都客運","-","0"
"TPE","臺北市","TPE11204","11204","68","TPE112040","112040","68","首都客運","-","1"
"TPE","臺北市","TPE11206","11206","小15","TPE112060","112060","小15","首都客運","-","0"
"TPE","臺北市","TPE11206","11206","小15","TPE112060","112060","小15","首都客運","-","1"
"TPE","臺北市","TPE11206","11206","小15","TPE159288","159288","小15繞菁山遊憩區","首都客運","-","0"
"TPE","臺北市","TPE11206","11206","小15","TPE159288","159288","小15繞菁山遊憩區","首都客運","-","1"
"TPE","臺北市","TPE11207","11207","小15區","TPE112070","112070","小15區不繞菁山路99巷","首都客運","-","0"
"TPE","臺北市","TPE11207","11207","小15區","TPE112070","112070","小15區不繞菁山路99巷","首都客運","-","1"
"TPE","臺北市","TPE11207","11207","小15區","TPE159436","159436","小15區繞菁山路99巷","首都客運","-","0"
"TPE","臺北市","TPE11207","11207","小15區","TPE159436","159436","小15區繞菁山路99巷","首都客運","-","1"
"TPE","臺北市","TPE11207","11207","小15區","TPE162319","162319","小15區預約公車","首都客運","-","0"
"TPE","臺北市","TPE11207","11207","小15區","TPE162319","162319","小15區預約公車","首都客運","-","1"
"TPE","臺北市","TPE11208","11208","小16","TPE112080","112080","小16 平0550 假0600無繞駛","首都客運","-","0"
"TPE","臺北市","TPE11208","11208","小16","TPE112080","112080","小16 平0550 假0600無繞駛","首都客運","-","1"
"TPE","臺北市","TPE11208","11208","小16","TPE158476","158476","小16 0730、0950經永公路296、350、500巷","首都客運","-","0"
"TPE","臺北市","TPE11208","11208","小16","TPE158476","158476","小16 0730、0950經永公路296、350、500巷","首都客運","-","1"
"TPE","臺北市","TPE11208","11208","小16","TPE158478","158478","小16 平0610經陽明山國小","首都客運","-","0"
"TPE","臺北市","TPE11208","11208","小16","TPE158478","158478","小16 平0610經陽明山國小","首都客運","-","1"
"TPE","臺北市","TPE11208","11208","小16","TPE158479","158479","小16 平0820經永公路245巷34弄","首都客運","-","0"
"TPE","臺北市","TPE11208","11208","小16","TPE158479","158479","小16 平0820經永公路245巷34弄","首都客運","-","1"
"TPE","臺北市","TPE11208","11208","小16","TPE158794","158794","小16 假1050經永公路350巷","首都客運","-","0"
"TPE","臺北市","TPE11208","11208","小16","TPE158794","158794","小16 假1050經永公路350巷","首都客運","-","1"
"TPE","臺北市","TPE11208","11208","小16","TPE160667","160667","小16 平1150、1525經陽明山國小","首都客運","-","0"
"TPE","臺北市","TPE11208","11208","小16","TPE160667","160667","小16 平1150、1525經陽明山國小","首都客運","-","1"
"TPE","臺北市","TPE11208","11208","小16","TPE160668","160668","小16 平1030、1740 假1740經永公路245巷34弄","首都客運","-","0"
"TPE","臺北市","TPE11208","11208","小16","TPE160668","160668","小16 平1030、1740 假1740經永公路245巷34弄","首都客運","-","1"
"TPE","臺北市","TPE11208","11208","小16","TPE160669","160669","小16 假0810經永公路245巷34弄、296、350巷","首都客運","-","0"
"TPE","臺北市","TPE11208","11208","小16","TPE160669","160669","小16 假0810經永公路245巷34弄、296、350巷","首都客運","-","1"
"TPE","臺北市","TPE11208","11208","小16","TPE160670","160670","小16 假0950經永公路245巷34弄、296、350、500巷","首都客運","-","0"
"TPE","臺北市","TPE11208","11208","小16","TPE160670","160670","小16 假0950經永公路245巷34弄、296、350、500巷","首都客運","-","1"
"TPE","臺北市","TPE11208","11208","小16","TPE162470","162470","小16 2300經永公路296、350巷","首都客運","-","0"
"TPE","臺北市","TPE11208","11208","小16","TPE162470","162470","小16 2300經永公路296、350巷","首都客運","-","1"
"TPE","臺北市","TPE11209","11209","小17","TPE112090","112090","小17","首都客運","-","0"
"TPE","臺北市","TPE11209","11209","小17","TPE112090","112090","小17","首都客運","-","1"
"TPE","臺北市","TPE11209","11209","小17","TPE112120","112120","小17經莊頂","首都客運","-","0"
"TPE","臺北市","TPE11209","11209","小17","TPE112120","112120","小17經莊頂","首都客運","-","1"
"TPE","臺北市","TPE11211","11211","小18","TPE112110","112110","小18","首都客運","-","0"
"TPE","臺北市","TPE11211","11211","小18","TPE112110","112110","小18","首都客運","-","1"
"TPE","臺北市","TPE11212","11212","204","TPE11212","11212","204","首都客運","-","0"
"TPE","臺北市","TPE11212","11212","204","TPE11212","11212","204","首都客運","-","1"
"TPE","臺北市","TPE11212","11212","204","TPE157877","157877","204往內湖","首都客運","-","0"
"TPE","臺北市","TPE11212","11212","204","TPE157878","157878","204往東園","首都客運","-","1"
"TPE","臺北市","TPE11213","11213","小19","TPE112130","112130","小19","首都客運","-","0"
"TPE","臺北市","TPE11213","11213","小19","TPE112130","112130","小19","首都客運","-","1"
"TPE","臺北市","TPE11213","11213","小19","TPE112150","112150","小19經合誠宮","首都客運","-","0"
"TPE","臺北市","TPE11213","11213","小19","TPE112150","112150","小19經合誠宮","首都客運","-","1"
"TPE","臺北市","TPE11217","11217","市民小巴1","TPE112170","112170","市民小巴1","首都客運","-","0"
"TPE","臺北市","TPE11217","11217","市民小巴1","TPE112170","112170","市民小巴1","首都客運","-","1"
"TPE","臺北市","TPE11217","11217","市民小巴1","TPE157454","157454","小巴1返繞溪山","首都客運","-","0"
"TPE","臺北市","TPE11217","11217","市民小巴1","TPE157454","157454","小巴1返繞溪山","首都客運","-","1"
