BSM_BUSSTO,BSM_CHINES,geometry
6928,捷運台北101/世�,POINT (121.564589 25.033055)
6929,信義行政中心(�,POINT (121.566698402892 25.0330348486324)
50016,東明里,POINT (121.598579867653 25.0538003797196)
50018,南港輪胎,POINT (121.600631965419 25.053410287006)
50019,南港高工(南港�,POINT (121.610621 25.054961)
986,五分社區,POINT (121.614356340721 25.0686868392957)
1697,捷運昆陽站,POINT (121.593144 25.050403)
1719,陸軍後勤指揮�,POINT (121.591049864824 25.0496237175467)
2038,五分埔商圈(中�,POINT (121.58003 25.04799)
2055,市立工農,POINT (121.572615521202 25.040854107758)
3927,捷運永春站(忠�,POINT (121.575743 25.040967)
1680,南港軟體園區�,POINT (121.614279736525 25.0596223969091)
50446,南寮(忠三街口),POINT (121.623544 25.079071)
1000203,康樂街,POINT (121.619134959956 25.0711232284945)
1000253,南港高工(南港�,POINT (121.609776 25.054968)
1000254,土地公廟,POINT (121.595509916336 25.0544903819023)
1000271,台肥新村,POINT (121.603021736172 25.053655363078)
1000272,南港行政中心,POINT (121.607081950596 25.0543759163622)
1000314,南港高中,POINT (121.595016144669 25.0528946733493)
1579,富泰里,POINT (121.56561562698 25.05720185411)
1017,民權大橋,POINT (121.579477870198 25.066876801458)
997,捷運港墘站(內�,POINT (121.574618145655 25.0801493693391)
1041,西湖圖書館(湖�,POINT (121.578396 25.078683)
1077,時報廣場,POINT (121.58212115754 25.0680848776157)
1109,捷運文德站(碧�,POINT (121.584249089971 25.0785852271108)
1212,植福宮,POINT (121.54880529279 25.0816148665329)
1503,新益里,POINT (121.566151136858 25.0622865538586)
1504,新益里,POINT (121.566272688349 25.0624446499803)
1507,民生國中,POINT (121.567920079 25.0596679971656)
1672,南港花園社區�,POINT (121.591137570228 25.0396526503445)
2096,松山商職(福德),POINT (121.578747487242 25.0362197359093)
2097,松山商職(福德),POINT (121.578737539702 25.0363727952991)
2167,福德國小,POINT (121.587322552162 25.0391602337028)
4175,臺北漁市,POINT (121.537162 25.068066)
4182,自強隧道,POINT (121.549098000693 25.0836614129435)
6734,福德國小,POINT (121.586342880983 25.0389716224663)
6937,奉天宮,POINT (121.583314 25.037702)
8670,文湖國小,POINT (121.561535778783 25.0843810062584)
10401,合江街口,POINT (121.53831344048 25.0581514673629)
2093,松山車站(松山),POINT (121.577664189069 25.0471567832665)
3754,西湖圖書館(湖�,POINT (121.578588 25.078885)
10419,臺北大學(臺北�,POINT (121.542529 25.057974)
50515,恕德家商,POINT (121.569461375068 25.082118261496)
1000026,民生國中,POINT (121.567688209586 25.0601728849482)
1000117,捷運劍南路站,POINT (121.554879 25.08489093)
1000221,南松山(塔悠),POINT (121.569864721907 25.0530061965316)
15115,永吉國小,POINT (121.577918664208 25.0435588382657)
15116,捷運永春站(松�,POINT (121.577961 25.041983)
1001,內湖基湖路口,POINT (121.56522726008 25.081989966673)
1013,瑞光港墘路口,POINT (121.572469 25.077397)
1371,敬業三路一,POINT (121.556252859677 25.0832624488679)
1997,捷運善導寺站,POINT (121.522629 25.044844)
2058,永春公寓,POINT (121.577716297452 25.0400779405363)
1000895,瑞光港墘路口,POINT (121.573134 25.077273)
20270,信義松德路口,POINT (121.57442842097 25.034526525583)
1000213,新湖一路口,POINT (121.578826 25.060544)
1607,工程營產中心,POINT (121.610969 25.052378)
